,Day,Year,Month,Hour,Minute,LAI.MODIS,ustar,Tair,WD,wind,NEE,FC,SC,H,SH,LE,SLE,G,TS_1,TS_2,Precip,RH,pressure,CO2_1,CO2_2,VPD,SWC_1,SWC_2,Rn,PPFD_down,SW_down,SW_DIF,PPFD_up,SW_up,LW_down,LW_out,H2O,Reco,APAR,PPFD_DIF,FAPAR,ZL,SZA
1,1,2005,5,11.24137931,15.51724138,0.3969,NA,9.531034483,254.8965517,7.265172414,NA,NA,0,NA,NA,NA,NA,6.310344828,12.49103448,10.81482759,0,52.30689655,99.10441379,NA,NA,0.619689655,31.34482759,33,242.862069,773,417.9310345,NA,76.4137931,83.48275862,275.862069,367.4482759,NA,NA,NA,NA,NA,NA,55.03855377
2,2,2005,5,11.24137931,15.51724138,0.3969,0.479636364,6.9,264.4827586,7.209310345,-0.807363636,-0.807363636,0,108.2727273,NA,44.81818182,NA,-2,9.93862069,8.742758621,0,57.12068966,99.28024138,NA,NA,0.448034483,30,32,172.2068966,574.6896552,311.3793103,NA,59.44827586,63.96551724,278.7241379,354.1034483,NA,NA,NA,NA,NA,NA,54.82353473
3,3,2005,5,4.5,15,0.3969,NA,-0.7,275.5,1.42,-0.045,-0.045,0,-0.5,NA,0,NA,-35,1.395,1.91,0,87.75,99.4,NA,NA,0.072,29,31.5,-65,32,19.5,NA,3.5,9,220,296.5,NA,NA,NA,NA,NA,NA,94.33777048
4,4,2005,5,11.24137931,15.51724138,0.3969,0.167578947,13.0552069,213.5517241,1.581034483,-2.207321429,-2.207321429,0,132.2142857,NA,36.96428571,NA,45.4137931,18.31344828,15.69586207,0,28.69310345,99.94193103,NA,NA,1.205965517,30.31034483,31.51724138,244.4827586,962.9310345,515.7931034,NA,102.1724138,106.2413793,254.3448276,419.2068966,NA,NA,NA,NA,NA,NA,54.40455828
5,5,2005,5,11.24137931,15.51724138,0.3969,0.201740741,16.9137931,148.8275862,2.898965517,-2.316103448,-2.316103448,0,114.4482759,NA,28.93103448,NA,41.93103448,19.49931034,17.24551724,0,31.99310345,99.852,NA,NA,1.380068966,30.4137931,31.37931034,204.137931,800.4482759,425.3103448,NA,86.13793103,88.10344828,293.137931,426.137931,NA,NA,NA,NA,NA,NA,54.20069836
6,6,2005,5,11.24137931,15.51724138,0.3969,0.396896552,20.24827586,190.137931,4.775862069,0.357607143,0.357607143,0,107.0344828,NA,42.86206897,NA,37.27586207,20.99068966,18.73,0,39.6242069,99.36617241,NA,NA,1.559655172,30.4137931,30.86206897,204.2068966,735.7586207,384.0344828,NA,79.34482759,79,332.7586207,433.6896552,NA,NA,NA,NA,NA,NA,54.00065344
7,7,2005,5,11.24137931,15.51724138,0.3969,0.305448276,23.84137931,234.7931034,3.935172414,1.450818182,1.450818182,0,118.8965517,NA,41.51724138,NA,48.31034483,24.43517241,22.06551724,0,48.73103448,98.99382759,NA,NA,1.70562069,30.44827586,30.5862069,214.5172414,791.0689655,403.8965517,NA,86.44827586,81.93103448,349.7586207,457.1724138,NA,NA,NA,NA,NA,NA,53.80446894
8,8,2005,5,11.24137931,15.51724138,0.3969,0.430551724,24.93103448,176.8965517,5.904827586,0.1255,0.1255,0,153.9310345,NA,45.86206897,NA,43.68965517,25.37665517,23.11344828,0,42.20344828,98.87606897,NA,NA,2.016103448,30.27586207,30.37931034,251.0344828,922.4137931,475.5172414,NA,100.8275862,98.51724138,337.2758621,463.4137931,NA,NA,NA,NA,NA,NA,53.61218896
9,9,2005,5,11.24137931,15.51724138,0.3723,0.479068966,21.6137931,161.6896552,7.542413793,0.618724138,0.618724138,0,54.75862069,NA,35.10344828,NA,18.55172414,20.90310345,19.82,0,68.24137931,98.51093103,NA,NA,0.856241379,29.65517241,29.62068966,110.3103448,388.9310345,188.6551724,NA,33.27586207,29.82758621,375.2758621,423.9310345,NA,NA,NA,NA,NA,NA,53.42385621
10,10,2005,5,11.24137931,15.51724138,0.3723,0.402137931,26.41724138,228.5517241,5.124827586,-0.2722,-0.2722,0,177.3793103,NA,54.79310345,NA,49.4137931,27.64517241,25.19206897,0,49.97934483,98.60413793,NA,NA,2.05262069,29.86206897,29.37931034,282.8965517,972.862069,493.6551724,NA,82.34482759,81.62068966,352.4827586,481.5862069,NA,NA,NA,NA,NA,NA,53.23951207
11,11,2005,5,11.24137931,15.51724138,0.3723,0.31568,24.05517241,212.5862069,4.552758621,0.179142857,0.179142857,0,113.6785714,NA,28.85714286,NA,36.20689655,26.98903448,25.34344828,0,70.42758621,98.84517241,NA,NA,1.025689655,29.55172414,29,176.0344828,623.2758621,308.5862069,NA,53.34482759,47.79310345,380.1724138,464.8275862,NA,NA,NA,NA,NA,NA,53.05919652
12,12,2005,5,11.24137931,15.51724138,0.3723,0.437,16.85172414,64.03448276,7.845862069,-6.08962069,-6.08962069,0,152.6896552,NA,88.24137931,NA,9.517241379,20.91655172,19.87275862,0,78.44137931,99.55203448,NA,NA,0.479655172,29.55172414,28.001,273.1034483,803.5862069,413.5172414,NA,64.55172414,65.79310345,341.4482759,416.0689655,NA,NA,NA,NA,NA,NA,52.88294818
13,13,2005,5,11.24137931,15.51724138,0.3723,0.593642857,24.38965517,195.5862069,8.621724138,0.504636364,0.504636364,0,173.3571429,NA,62.23076923,NA,32.82758621,25.03862069,23.23551724,0.082758621,67.24482759,98.63817241,NA,NA,1.254793103,29.75862069,28.10434483,266.6896552,842.2068966,433,NA,74.35714286,74.82142857,361.8275862,455.862069,NA,NA,NA,NA,NA,NA,52.71080426
14,14,2005,5,11.24137931,15.51724138,0.3723,0.478807692,16.85865517,278.1724138,7.106896552,0.44864,0.44864,0,102.0769231,NA,118.88,NA,5.413793103,20.4362069,19.32103448,0.020689655,63.30344828,98.5107931,NA,NA,0.799517241,29.27586207,27.69034483,227.6551724,690.3103448,360.0344828,NA,59.03846154,59.42857143,331.137931,406,NA,NA,NA,NA,NA,NA,52.5428006
15,15,2005,5,11.24137931,15.51724138,0.3723,0.41837931,11.83793103,282.5862069,6.513448276,-0.693103448,-0.693103448,0,100,NA,35.5862069,NA,-4.827586207,15.85003448,14.91517241,0,59.64137931,98.95875862,NA,NA,0.585793103,27.82841379,27,143.5862069,465.5517241,247.0689655,NA,39.72413793,42.27586207,321.4137931,382.8275862,NA,NA,NA,NA,NA,NA,52.37897165
16,16,2005,5,11.24137931,15.51724138,0.3723,0.185666667,14.21724138,191.0689655,1.94137931,-3.830333333,-3.830333333,0,165.7037037,NA,16.88888889,NA,36.37931034,22.79034483,20.55931034,0,48.36896552,99.16255172,NA,NA,0.938,28.31048276,26.65517241,256.4137931,969.3793103,511.9310345,NA,84.44827586,87.68965517,275.8965517,443.6896552,NA,NA,NA,NA,NA,NA,52.21935044
17,17,2005,5,11.24137931,15.51724138,0.401,0.280551724,19.1,130.137931,4.852068966,-0.350655172,-0.350655172,0,206.0344828,NA,28.51724138,NA,33.93103448,24.49896552,22.42310345,0,46.73106897,99.05531034,NA,NA,1.301413793,28.44848276,27,282.5862069,1007.896552,534.6551724,NA,88.82758621,95.20689655,296.2758621,453.3103448,NA,NA,NA,NA,NA,NA,52.06396863
18,18,2005,5,11.24137931,15.51724138,0.401,0.334482759,22.07241379,131.3448276,5.359655172,1.098117647,1.098117647,0,167.3448276,NA,27.62068966,NA,32.44827586,25.07517241,23.10827586,0,44.78972414,98.86937931,NA,NA,1.630448276,28.37958621,26.72413793,235.2068966,846.6551724,438.9655172,NA,75.34482759,76.75862069,330.7931034,457.6896552,NA,NA,NA,NA,NA,NA,51.91285647
19,19,2005,5,12.22580645,14.51612903,0.401,0.334652174,22.04516129,207.9032258,4.807741935,0.655066667,0.655066667,0,22.83333333,NA,180.4166667,NA,24.48387097,21.94612903,21.10064516,0.341935484,77.08064516,98.15193548,NA,NA,0.748129032,34.12906452,28.74206452,238.516129,628.6774194,317.8387097,NA,37.44827586,33.27586207,371.8709677,419.7741935,NA,NA,NA,NA,NA,NA,56.51391965
